product_category_name_english,purchase_week_start,units_sold,unique_orders,revenue,avg_price,avg_freight,year,month,quarter,week_of_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,lag_1,lag_2,lag_4,lag_8,revenue_lag_1,orders_lag_1,avg_price_lag_1,rolling_mean_4,rolling_std_4,rolling_mean_8,revenue_roll_mean_4,revenue_roll_std_4,momentum_1_4,momentum_1_8,units_pct_change_1,revenue_pct_change_1
agro_industry_and_commerce,2016-11-07,0.0,0.0,0.0,0.0,0.0,2016,11,4,45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
agro_industry_and_commerce,2016-11-14,0.0,0.0,0.0,0.0,0.0,2016,11,4,46,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
agro_industry_and_commerce,2016-11-21,0.0,0.0,0.0,0.0,0.0,2016,11,4,47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
agro_industry_and_commerce,2016-11-28,0.0,0.0,0.0,0.0,0.0,2016,11,4,48,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
agro_industry_and_commerce,2016-12-05,0.0,0.0,0.0,0.0,0.0,2016,12,4,49,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
agro_industry_and_commerce,2016-12-12,0.0,0.0,0.0,0.0,0.0,2016,12,4,50,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
agro_industry_and_commerce,2016-12-19,0.0,0.0,0.0,0.0,0.0,2016,12,4,51,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
agro_industry_and_commerce,2016-12-26,0.0,0.0,0.0,0.0,0.0,2016,12,4,52,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
agro_industry_and_commerce,2017-01-02,0.0,0.0,0.0,0.0,0.0,2017,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
agro_industry_and_commerce,2017-01-09,0.0,0.0,0.0,0.0,0.0,2017,1,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
agro_industry_and_commerce,2017-01-16,0.0,0.0,0.0,0.0,0.0,2017,1,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
agro_industry_and_commerce,2017-01-23,2.0,1.0,43.98,21.99,8.72,2017,1,1,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
agro_industry_and_commerce,2017-01-30,2.0,2.0,43.98,21.99,19.435000000000002,2017,1,1,5,0,0,0,0,2.0,0.0,0.0,0.0,43.98,1.0,21.99,0.5,1.0,0.25,10.995,21.99,1.5,1.75,,
