iter	RMSE
0	25.67016198
1	24.53330208
2	23.51677172
3	22.53494142
4	21.68006779
5	20.85599795
6	20.00599177
7	19.24126908
8	18.53192957
9	17.86834195
10	17.25352956
11	16.67898678
12	16.13310828
13	15.64261057
14	15.16182987
15	14.72827124
16	14.33974952
17	13.95822263
18	13.60393793
19	13.28197403
20	12.98033073
21	12.68795064
22	12.39221165
23	12.12372127
24	11.89998413
25	11.68496125
26	11.49258296
27	11.28859261
28	11.10840351
29	10.91095785
30	10.77782052
31	10.63270984
32	10.4752112
33	10.33811943
34	10.20245439
35	10.07232066
36	9.94779522
37	9.814892647
38	9.672338076
39	9.544390974
40	9.453035066
41	9.344137917
42	9.235806299
43	9.170623531
44	9.087749267
45	8.991081522
46	8.906597135
47	8.836269432
48	8.801826584
49	8.732525269
50	8.699780099
51	8.664947123
52	8.590941306
53	8.523992439
54	8.460284572
55	8.40821791
56	8.377258646
57	8.337555202
58	8.265934611
59	8.218006533
60	8.189514984
61	8.143886599
62	8.08930867
63	8.04525363
64	8.010000474
65	7.97355008
66	7.944279327
67	7.927189459
68	7.8755674
69	7.852523957
70	7.832966089
71	7.794405205
72	7.777525592
73	7.742470184
74	7.72137915
75	7.697931874
76	7.654133093
77	7.618812731
78	7.599356542
79	7.567258512
80	7.548219279
81	7.501834729
82	7.479028895
83	7.446875319
84	7.41770821
85	7.4013167
86	7.376661696
87	7.361021472
88	7.340612418
89	7.330548107
90	7.302735205
91	7.284262974
92	7.247161553
93	7.216316657
94	7.199433716
95	7.185772849
96	7.157741666
97	7.142827514
98	7.134531497
99	7.126483901
100	7.120510239
101	7.099372547
102	7.081377037
103	7.066295182
104	7.047457776
105	7.040720053
106	7.020513226
107	7.009488281
108	6.993443392
109	6.975514063
110	6.933371306
111	6.922191492
112	6.915227905
113	6.898698574
114	6.88475331
115	6.873567276
116	6.867140926
117	6.83627901
118	6.821725151
119	6.813743158
120	6.801539227
121	6.775598766
122	6.762402291
123	6.750351728
124	6.733912363
125	6.725506767
126	6.712959614
127	6.703100513
128	6.67760664
129	6.665624166
130	6.655053132
131	6.650661808
132	6.646398074
133	6.635776651
134	6.631915637
135	6.620764141
136	6.609908528
137	6.591195659
138	6.579568922
139	6.569011187
140	6.556275647
141	6.551075702
142	6.530415266
143	6.524953987
144	6.514932426
145	6.502766905
146	6.494781668
147	6.490491929
148	6.464423691
149	6.449245143
150	6.445593884
151	6.415900161
152	6.403079871
153	6.391019714
154	6.385309907
155	6.382103723
156	6.369242065
157	6.357297655
158	6.350576313
159	6.345360961
160	6.337850604
161	6.320616094
162	6.317345984
163	6.307761697
164	6.302173063
165	6.289713892
166	6.260990629
167	6.255179119
168	6.244016603
169	6.241011462
170	6.237645699
171	6.229272832
172	6.219014801
173	6.205675227
174	6.201067892
175	6.192031508
176	6.181150775
177	6.17862545
178	6.17380794
179	6.171962067
180	6.169461471
181	6.160800969
182	6.150601448
183	6.141414836
184	6.131983783
185	6.121582578
186	6.112308214
187	6.106696702
188	6.093208213
189	6.083670526
190	6.079844686
191	6.069929819
192	6.062982422
193	6.060450333
194	6.055279925
195	6.053561501
196	6.027782359
197	6.021705958
198	6.016970819
199	6.007234444
200	5.993129974
201	5.983896477
202	5.978243972
203	5.969167411
204	5.964715187
205	5.948244606
206	5.945543387
207	5.935340435
208	5.93137962
209	5.922947328
210	5.920377651
211	5.901277328
212	5.892984296
213	5.884373979
214	5.880950333
215	5.875641122
216	5.871888681
217	5.855114083
218	5.851561064
219	5.836778345
220	5.831275203
221	5.822324962
222	5.817124236
223	5.813796293
224	5.798551216
225	5.792341237
