iter	Passed	Remaining
0	2	1572
1	4	1598
2	7	1557
3	8	1483
4	11	1517
5	14	1587
6	16	1585
7	19	1569
8	21	1555
9	23	1529
10	25	1506
11	27	1512
12	30	1535
13	32	1517
14	34	1501
15	36	1487
16	38	1475
17	40	1458
18	42	1452
19	45	1456
20	47	1452
21	49	1439
22	50	1427
23	52	1413
24	54	1400
25	56	1392
26	59	1400
27	61	1398
28	63	1390
29	64	1378
30	66	1370
31	68	1365
32	70	1357
33	72	1354
34	75	1356
35	77	1355
36	79	1351
37	81	1347
38	83	1344
39	85	1341
40	87	1337
41	90	1346
42	93	1351
43	95	1350
44	97	1351
45	100	1352
46	102	1351
47	104	1352
48	107	1359
49	110	1362
50	112	1358
51	114	1358
52	117	1356
53	119	1357
54	122	1361
55	124	1363
56	127	1360
57	129	1358
58	131	1356
59	134	1357
60	137	1369
61	140	1371
62	142	1368
63	144	1366
64	147	1366
65	150	1367
66	153	1373
67	156	1375
68	158	1375
69	161	1373
70	163	1370
71	165	1370
72	168	1374
73	172	1378
74	174	1377
75	177	1377
76	179	1375
77	182	1377
78	186	1384
79	188	1384
80	191	1384
81	193	1382
82	196	1380
83	199	1381
84	202	1383
85	204	1383
86	207	1382
87	209	1379
88	212	1377
89	216	1390
90	219	1388
91	221	1386
92	224	1384
93	226	1382
94	229	1384
95	232	1383
96	234	1380
97	237	1376
98	239	1372
99	241	1369
100	243	1367
101	246	1367
102	249	1364
103	251	1361
104	253	1357
105	255	1353
106	257	1348
107	260	1346
108	262	1345
109	265	1342
110	267	1340
111	269	1337
112	271	1333
113	274	1329
114	276	1327
115	279	1325
116	281	1323
117	283	1321
118	286	1317
119	288	1315
120	291	1314
121	294	1314
122	296	1312
123	298	1308
124	300	1304
125	303	1301
126	305	1298
127	308	1297
128	310	1294
129	312	1290
130	314	1285
131	316	1281
132	318	1277
133	320	1273
134	322	1272
135	325	1269
136	327	1265
137	329	1262
138	331	1258
139	333	1256
140	336	1255
141	339	1256
142	342	1255
143	344	1253
144	347	1249
145	349	1245
146	351	1241
147	353	1240
148	355	1237
149	357	1233
150	359	1229
151	362	1226
152	363	1222
153	366	1219
154	368	1218
155	371	1215
156	373	1213
157	375	1210
158	378	1208
159	380	1204
160	382	1201
161	385	1200
162	387	1197
163	389	1193
164	391	1189
165	392	1186
166	394	1182
167	396	1178
168	398	1175
169	401	1174
170	404	1172
171	406	1168
172	408	1165
173	410	1162
174	411	1158
175	414	1155
176	416	1153
177	418	1149
178	420	1145
179	422	1141
180	423	1138
181	425	1134
182	427	1131
183	430	1129
184	432	1127
185	434	1124
186	436	1120
187	438	1116
188	440	1113
189	442	1110
190	444	1107
191	446	1104
192	448	1102
193	450	1098
194	452	1095
195	454	1091
196	456	1088
197	458	1085
198	460	1082
199	462	1080
200	464	1077
201	466	1074
202	468	1071
203	470	1067
204	472	1064
205	474	1061
206	476	1058
207	478	1056
208	480	1053
209	482	1050
210	484	1047
211	486	1044
212	488	1040
213	490	1037
214	492	1034
215	494	1032
216	496	1029
217	498	1027
218	500	1024
219	502	1021
220	504	1018
221	506	1015
222	509	1014
223	511	1011
224	513	1008
225	515	1005
