category,forecast_week_1,forecast_week_2,forecast_week_3,forecast_week_4,forecast_total_4w,avg_weekly_demand,model_rmse,safety_stock,reorder_point,recommended_stock_4w,trend,change_pct
market_place,0.6,0.4,0.5,0.5,2.1,0.5,1.1,3.0,4.0,6.0,rosnący 📈,40.0
fashion_shoes,0.6,0.4,0.5,0.4,1.8,0.5,1.7,4.0,5.0,6.0,spadający 📉,-40.0
christmas_supplies,0.4,0.6,0.5,0.4,1.8,0.5,1.3,3.0,4.0,5.0,spadający 📉,-11.1
dvds_blu_ray,0.5,0.3,0.4,0.5,1.6,0.4,1.0,3.0,4.0,5.0,stabilny ➡️,0.0
diapers_and_hygiene,0.5,0.3,0.4,0.4,1.6,0.4,0.9,3.0,4.0,5.0,stabilny ➡️,0.0
fashio_female_clothing,0.5,0.3,0.4,0.4,1.6,0.4,0.4,2.0,3.0,4.0,rosnący 📈,100.0
fashion_underwear_beach,0.3,0.3,0.4,0.5,1.5,0.4,1.3,3.0,4.0,5.0,stabilny ➡️,0.0
fashion_male_clothing,0.4,0.4,0.4,0.3,1.4,0.3,1.4,4.0,5.0,6.0,spadający 📉,-66.7
music,0.3,0.3,0.3,0.4,1.3,0.3,1.0,3.0,4.0,5.0,rosnący 📈,66.7
books_imported,0.3,0.2,0.3,0.4,1.2,0.3,1.4,3.0,4.0,5.0,spadający 📉,-50.0
fashion_sport,0.3,0.3,0.2,0.3,1.1,0.3,0.3,1.0,2.0,3.0,rosnący 📈,100.0
tablets_printing_image,0.3,0.3,0.3,0.3,1.1,0.3,0.4,2.0,3.0,4.0,stabilny ➡️,0.0
fashion_childrens_clothes,0.2,0.2,0.2,0.2,0.9,0.2,0.3,1.0,2.0,2.0,stabilny ➡️,0.0
flowers,0.2,0.2,0.2,0.2,0.9,0.2,0.4,2.0,3.0,3.0,spadający 📉,-100.0
cds_dvds_musicals,0.2,0.2,0.2,0.2,0.8,0.2,0.2,1.0,2.0,2.0,stabilny ➡️,0.0
la_cuisine,0.2,0.2,0.2,0.2,0.8,0.2,0.2,1.0,2.0,2.0,stabilny ➡️,0.0
home_comfort_2,0.2,0.2,0.2,0.2,0.8,0.2,0.5,2.0,3.0,3.0,spadający 📉,-100.0
furniture_mattress_and_upholstery,0.2,0.2,0.2,0.2,0.8,0.2,0.4,1.0,2.0,2.0,stabilny ➡️,0.0
security_and_services,0.2,0.2,0.2,0.2,0.8,0.2,0.2,1.0,2.0,2.0,stabilny ➡️,0.0
