category,week_start,week_ahead,forecast
Narzędzia budowlane,2018-09-24,4,10.2
Narzędzia ogrodowe,2018-09-03,1,2.9
Narzędzia ogrodowe,2018-09-10,2,2.5
Narzędzia ogrodowe,2018-09-17,3,2.4
Narzędzia ogrodowe,2018-09-24,4,2.2
Narzędzia ogrodowe (sklep),2018-09-03,1,14.3
Narzędzia ogrodowe (sklep),2018-09-10,2,22.5
Narzędzia ogrodowe (sklep),2018-09-17,3,26.9
Narzędzia ogrodowe (sklep),2018-09-24,4,28.1
Niemowlęta,2018-09-03,1,24.2
Niemowlęta,2018-09-10,2,34.1
Niemowlęta,2018-09-17,3,43.3
Niemowlęta,2018-09-24,4,46.8
Obuwie,2018-09-03,1,0.2
Obuwie,2018-09-10,2,0.2
Obuwie,2018-09-17,3,0.2
Obuwie,2018-09-24,4,0.2
Odzież damska,2018-09-03,1,0.2
Odzież damska,2018-09-10,2,0.1
Odzież damska,2018-09-17,3,0.1
Odzież damska,2018-09-24,4,0.1
Odzież dziecięca i młodzieżowa,2018-09-03,1,0.1
Odzież dziecięca i młodzieżowa,2018-09-10,2,0.1
Odzież dziecięca i młodzieżowa,2018-09-17,3,0.1
Odzież dziecięca i młodzieżowa,2018-09-24,4,0.1
Odzież męska,2018-09-03,1,0.1
Odzież męska,2018-09-10,2,0.1
Odzież męska,2018-09-17,3,0.1
Odzież męska,2018-09-24,4,0.1
Odzież sportowa,2018-09-03,1,0.1
Odzież sportowa,2018-09-10,2,0.1
Odzież sportowa,2018-09-17,3,0.1
Odzież sportowa,2018-09-24,4,0.1
Oznakowanie i bezpieczeństwo,2018-09-03,1,1.6
Oznakowanie i bezpieczeństwo,2018-09-10,2,0.5
Oznakowanie i bezpieczeństwo,2018-09-17,3,0.4
Oznakowanie i bezpieczeństwo,2018-09-24,4,0.4
Oświetlenie,2018-09-03,1,5.9
Oświetlenie,2018-09-10,2,7.4
Oświetlenie,2018-09-17,3,6.9
Oświetlenie,2018-09-24,4,5.3
PC gamingowe,2018-09-03,1,0.1
PC gamingowe,2018-09-10,2,0.1
PC gamingowe,2018-09-17,3,0.1
PC gamingowe,2018-09-24,4,0.1
Perfumeria,2018-09-03,1,26.1
Perfumeria,2018-09-10,2,36.5
Perfumeria,2018-09-17,3,45.0
Perfumeria,2018-09-24,4,45.5
Piekarniki i ekspresy,2018-09-03,1,0.7
Piekarniki i ekspresy,2018-09-10,2,0.7
Piekarniki i ekspresy,2018-09-17,3,0.5
Piekarniki i ekspresy,2018-09-24,4,0.3
Pieluchy i higiena,2018-09-03,1,0.1
Pieluchy i higiena,2018-09-10,2,0.1
Pieluchy i higiena,2018-09-17,3,0.1
Pieluchy i higiena,2018-09-24,4,0.1
"Pościel, ręczniki, łazienka",2018-09-03,1,59.2
"Pościel, ręczniki, łazienka",2018-09-10,2,87.0
"Pościel, ręczniki, łazienka",2018-09-17,3,108.8
"Pościel, ręczniki, łazienka",2018-09-24,4,115.4
Przemysł i biznes,2018-09-03,1,0.7
Przemysł i biznes,2018-09-10,2,0.3
Przemysł i biznes,2018-09-17,3,0.2
Przemysł i biznes,2018-09-24,4,0.1
Płyty CD/DVD muzyczne,2018-09-03,1,0.1
Płyty CD/DVD muzyczne,2018-09-10,2,0.1
Płyty CD/DVD muzyczne,2018-09-17,3,0.1
Płyty CD/DVD muzyczne,2018-09-24,4,0.1
Rolnictwo i przemysł,2018-09-03,1,0.9
Rolnictwo i przemysł,2018-09-10,2,0.5
Rolnictwo i przemysł,2018-09-17,3,0.6
Rolnictwo i przemysł,2018-09-24,4,0.3
Sklep zoologiczny,2018-09-03,1,17.9
Sklep zoologiczny,2018-09-10,2,25.5
Sklep zoologiczny,2018-09-17,3,28.4
Sklep zoologiczny,2018-09-24,4,29.9
Sport i rekreacja,2018-09-03,1,57.7
Sport i rekreacja,2018-09-10,2,79.8
Sport i rekreacja,2018-09-17,3,91.7
Sport i rekreacja,2018-09-24,4,105.6
Sztuka,2018-09-03,1,2.8
Sztuka,2018-09-10,2,2.7
Sztuka,2018-09-17,3,2.6
Sztuka,2018-09-24,4,2.5
Sztuka i rękodzieło,2018-09-03,1,0.4
Sztuka i rękodzieło,2018-09-10,2,0.4
Sztuka i rękodzieło,2018-09-17,3,0.3
Sztuka i rękodzieło,2018-09-24,4,0.1
Tablety i druk,2018-09-03,1,0.1
Tablety i druk,2018-09-10,2,0.1
Tablety i druk,2018-09-17,3,0.1
Tablety i druk,2018-09-24,4,0.1
Telefonia stacjonarna,2018-09-03,1,0.4
Telefonia stacjonarna,2018-09-10,2,0.2
Telefonia stacjonarna,2018-09-17,3,0.2
Telefonia stacjonarna,2018-09-24,4,0.2
Telefony,2018-09-03,1,23.1
Telefony,2018-09-10,2,36.9
Telefony,2018-09-17,3,46.0
Telefony,2018-09-24,4,50.8
Torebki i akcesoria,2018-09-03,1,9.5
Torebki i akcesoria,2018-09-10,2,10.5
Torebki i akcesoria,2018-09-17,3,12.1
Torebki i akcesoria,2018-09-24,4,15.0
Ubezpieczenia i usługi,2018-09-03,1,0.1
Ubezpieczenia i usługi,2018-09-10,2,0.1
Ubezpieczenia i usługi,2018-09-17,3,0.1
Ubezpieczenia i usługi,2018-09-24,4,0.1
Uroda i zdrowie,2018-09-03,1,58.9
Uroda i zdrowie,2018-09-10,2,82.1
Uroda i zdrowie,2018-09-17,3,104.5
Uroda i zdrowie,2018-09-24,4,111.9
Walizki i akcesoria podróżne,2018-09-03,1,5.8
Walizki i akcesoria podróżne,2018-09-10,2,7.9
Walizki i akcesoria podróżne,2018-09-17,3,8.3
Walizki i akcesoria podróżne,2018-09-24,4,8.3
Zabawki,2018-09-03,1,21.0
Zabawki,2018-09-10,2,31.9
Zabawki,2018-09-17,3,36.9
Zabawki,2018-09-24,4,39.7
Zegarki i prezenty,2018-09-03,1,39.5
Zegarki i prezenty,2018-09-10,2,52.4
Zegarki i prezenty,2018-09-17,3,58.2
Zegarki i prezenty,2018-09-24,4,63.3
nieznana,2018-09-03,1,3.1
nieznana,2018-09-10,2,3.8
nieznana,2018-09-17,3,2.9
nieznana,2018-09-24,4,2.3
Żywność,2018-09-03,1,11.2
Żywność,2018-09-10,2,11.1
Żywność,2018-09-17,3,10.7
Żywność,2018-09-24,4,10.4
Żywność i napoje,2018-09-03,1,1.6
Żywność i napoje,2018-09-10,2,0.8
Żywność i napoje,2018-09-17,3,0.5
Żywność i napoje,2018-09-24,4,0.4
