category,week_start,week_ahead,forecast
AGD,2018-09-03,1,5.2
AGD,2018-09-10,2,6.9
AGD,2018-09-17,3,6.8
AGD,2018-09-24,4,6.3
AGD II,2018-09-03,1,0.8
AGD II,2018-09-10,2,0.5
AGD II,2018-09-17,3,0.3
AGD II,2018-09-24,4,0.2
AGD kuchenne,2018-09-03,1,2.5
AGD kuchenne,2018-09-10,2,2.8
AGD kuchenne,2018-09-17,3,2.8
AGD kuchenne,2018-09-24,4,2.6
Akcesoria komputerowe,2018-09-03,1,46.3
Akcesoria komputerowe,2018-09-10,2,67.8
Akcesoria komputerowe,2018-09-17,3,78.9
Akcesoria komputerowe,2018-09-24,4,87.3
Akcesoria kuchenne,2018-09-03,1,0.1
Akcesoria kuchenne,2018-09-10,2,0.1
Akcesoria kuchenne,2018-09-17,3,0.1
Akcesoria kuchenne,2018-09-24,4,0.1
Artykuły gospodarstwa domowego,2018-09-03,1,55.5
Artykuły gospodarstwa domowego,2018-09-10,2,77.3
Artykuły gospodarstwa domowego,2018-09-17,3,80.7
Artykuły gospodarstwa domowego,2018-09-24,4,88.3
Artykuły imprezowe,2018-09-03,1,1.5
Artykuły imprezowe,2018-09-10,2,1.5
Artykuły imprezowe,2018-09-17,3,1.3
Artykuły imprezowe,2018-09-24,4,1.3
Artykuły papiernicze,2018-09-03,1,22.1
Artykuły papiernicze,2018-09-10,2,32.1
Artykuły papiernicze,2018-09-17,3,37.5
Artykuły papiernicze,2018-09-24,4,42.9
Artykuły świąteczne,2018-09-03,1,0.3
Artykuły świąteczne,2018-09-10,2,0.3
Artykuły świąteczne,2018-09-17,3,0.2
Artykuły świąteczne,2018-09-24,4,0.1
Audio,2018-09-03,1,2.5
Audio,2018-09-10,2,2.1
Audio,2018-09-17,3,1.7
Audio,2018-09-24,4,1.2
Bezpieczeństwo domu,2018-09-03,1,1.6
Bezpieczeństwo domu,2018-09-10,2,0.9
Bezpieczeństwo domu,2018-09-17,3,0.6
Bezpieczeństwo domu,2018-09-24,4,0.4
Bielizna i odzież plażowa,2018-09-03,1,0.1
Bielizna i odzież plażowa,2018-09-10,2,0.1
Bielizna i odzież plażowa,2018-09-17,3,0.1
Bielizna i odzież plażowa,2018-09-24,4,0.1
Budowa i remont,2018-09-03,1,4.3
Budowa i remont,2018-09-10,2,4.5
Budowa i remont,2018-09-17,3,2.4
Budowa i remont,2018-09-24,4,0.8
DVD i Blu-ray,2018-09-03,1,0.1
DVD i Blu-ray,2018-09-10,2,0.1
DVD i Blu-ray,2018-09-17,3,0.1
DVD i Blu-ray,2018-09-24,4,0.1
Elektronika użytkowa,2018-09-03,1,8.9
Elektronika użytkowa,2018-09-10,2,11.5
Elektronika użytkowa,2018-09-17,3,11.9
Elektronika użytkowa,2018-09-24,4,12.4
Gadżety,2018-09-03,1,14.3
Gadżety,2018-09-10,2,21.8
Gadżety,2018-09-17,3,24.7
Gadżety,2018-09-24,4,26.1
Instrumenty muzyczne,2018-09-03,1,1.6
Instrumenty muzyczne,2018-09-10,2,0.9
Instrumenty muzyczne,2018-09-17,3,0.4
Instrumenty muzyczne,2018-09-24,4,0.4
Kino i fotografia,2018-09-03,1,0.3
Kino i fotografia,2018-09-10,2,0.2
Kino i fotografia,2018-09-17,3,0.3
Kino i fotografia,2018-09-24,4,0.1
Klimatyzacja i wentylacja,2018-09-03,1,0.9
Klimatyzacja i wentylacja,2018-09-10,2,0.6
Klimatyzacja i wentylacja,2018-09-17,3,0.6
Klimatyzacja i wentylacja,2018-09-24,4,0.4
Komfort domowy,2018-09-03,1,0.9
Komfort domowy,2018-09-10,2,0.6
Komfort domowy,2018-09-17,3,0.4
Komfort domowy,2018-09-24,4,0.3
Komfort domowy II,2018-09-03,1,0.1
Komfort domowy II,2018-09-10,2,0.1
Komfort domowy II,2018-09-17,3,0.1
Komfort domowy II,2018-09-24,4,0.1
Komputery,2018-09-03,1,0.7
Komputery,2018-09-10,2,0.3
Komputery,2018-09-17,3,0.4
Komputery,2018-09-24,4,0.2
Konsole i gry,2018-09-03,1,7.7
Konsole i gry,2018-09-10,2,9.9
Konsole i gry,2018-09-17,3,11.0
Konsole i gry,2018-09-24,4,9.7
Książki - ogólne,2018-09-03,1,2.7
Książki - ogólne,2018-09-10,2,2.5
Książki - ogólne,2018-09-17,3,1.9
Książki - ogólne,2018-09-24,4,1.7
Książki importowane,2018-09-03,1,0.1
Książki importowane,2018-09-10,2,0.1
Książki importowane,2018-09-17,3,0.1
Książki importowane,2018-09-24,4,0.1
Książki techniczne,2018-09-03,1,1.6
Książki techniczne,2018-09-10,2,0.9
Książki techniczne,2018-09-17,3,0.6
Książki techniczne,2018-09-24,4,0.4
Kwiaty,2018-09-03,1,0.1
Kwiaty,2018-09-10,2,0.1
Kwiaty,2018-09-17,3,0.1
Kwiaty,2018-09-24,4,0.1
Marketplace,2018-09-03,1,0.3
Marketplace,2018-09-10,2,0.2
Marketplace,2018-09-17,3,0.2
Marketplace,2018-09-24,4,0.2
Materace i tapicerka,2018-09-03,1,0.1
Materace i tapicerka,2018-09-10,2,0.1
Materace i tapicerka,2018-09-17,3,0.1
Materace i tapicerka,2018-09-24,4,0.1
Małe AGD elektroniczne,2018-09-03,1,1.8
Małe AGD elektroniczne,2018-09-10,2,1.0
Małe AGD elektroniczne,2018-09-17,3,0.6
Małe AGD elektroniczne,2018-09-24,4,0.4
Meble biurowe,2018-09-03,1,7.8
Meble biurowe,2018-09-10,2,9.3
Meble biurowe,2018-09-17,3,7.9
Meble biurowe,2018-09-24,4,7.0
Meble do salonu,2018-09-03,1,3.1
Meble do salonu,2018-09-10,2,2.3
Meble do salonu,2018-09-17,3,0.8
Meble do salonu,2018-09-24,4,0.6
Meble do sypialni,2018-09-03,1,0.6
Meble do sypialni,2018-09-10,2,0.4
Meble do sypialni,2018-09-17,3,0.3
Meble do sypialni,2018-09-24,4,0.1
Meble i dekoracje,2018-09-03,1,42.6
Meble i dekoracje,2018-09-10,2,65.8
Meble i dekoracje,2018-09-17,3,78.9
Meble i dekoracje,2018-09-24,4,85.4
Meble kuchenne i ogrodowe,2018-09-03,1,3.3
Meble kuchenne i ogrodowe,2018-09-10,2,4.0
Meble kuchenne i ogrodowe,2018-09-17,3,3.7
Meble kuchenne i ogrodowe,2018-09-24,4,3.6
Motoryzacja,2018-09-03,1,37.7
Motoryzacja,2018-09-10,2,52.5
Motoryzacja,2018-09-17,3,59.6
Motoryzacja,2018-09-24,4,61.9
Muzyka,2018-09-03,1,0.2
Muzyka,2018-09-10,2,0.1
Muzyka,2018-09-17,3,0.1
Muzyka,2018-09-24,4,0.1
Napoje,2018-09-03,1,2.9
Napoje,2018-09-10,2,2.6
Napoje,2018-09-17,3,2.2
Napoje,2018-09-24,4,2.2
Narzędzia,2018-09-03,1,0.7
Narzędzia,2018-09-10,2,0.4
Narzędzia,2018-09-17,3,0.3
Narzędzia,2018-09-24,4,0.1
Narzędzia budowlane,2018-09-03,1,9.9
Narzędzia budowlane,2018-09-10,2,9.9
Narzędzia budowlane,2018-09-17,3,9.5
